Fecha,Pais,Ciudad,Latitud,Longitud,Producto,Categoria,Cantidad,Precio_Unitario
2024-02-25,México,CDMX,19.4326,-99.1332,Auriculares BT,Audio,14,60
2024-02-22,México,CDMX,19.4326,-99.1332,Laptop Pro,Tecnología,6,1200
2024-03-25,Argentina,Buenos Aires,-34.6037,-58.3816,Teclado Mecánico,Accesorios,25,80
2024-03-16,Argentina,Buenos Aires,-34.6037,-58.3816,Monitor 27,Tecnología,40,350
2024-01-19,Argentina,Buenos Aires,-34.6037,-58.3816,Auriculares BT,Audio,40,60
2024-02-29,USA,Miami,25.7617,-80.1918,Monitor 27,Tecnología,10,350
2024-03-04,España,Madrid,40.4168,-3.7038,Mouse Inalámbrico,Accesorios,34,25
2024-01-01,Perú,Lima,-12.0464,-77.0428,Teclado Mecánico,Accesorios,37,80
2024-03-08,USA,Miami,25.7617,-80.1918,Teclado Mecánico,Accesorios,6,80
2024-01-28,Perú,Lima,-12.0464,-77.0428,Auriculares BT,Audio,40,60
2024-01-13,Argentina,Buenos Aires,-34.6037,-58.3816,Monitor 27,Tecnología,20,350
2024-03-15,España,Madrid,40.4168,-3.7038,Mouse Inalámbrico,Accesorios,19,25
2024-02-11,USA,Miami,25.7617,-80.1918,Teclado Mecánico,Accesorios,40,80
2024-03-28,Perú,Lima,-12.0464,-77.0428,Auriculares BT,Audio,42,60
2024-01-09,México,CDMX,19.4326,-99.1332,Mouse Inalámbrico,Accesorios,31,25
2024-02-02,Colombia,Medellín,6.2442,-75.5812,Smartphone X,Móvil,9,850
2024-01-18,méxico,Monterrey,25.6866,-100.3161,Monitor 27,Tecnología,27,350
2024-03-05,México,CDMX,19.4326,-99.1332,Auriculares BT,Audio,41,60
2024-03-03,méxico,Monterrey,25.6866,-100.3161,Teclado Mecánico,Accesorios,36,80
2024-01-16,USA,Miami,25.7617,-80.1918,Auriculares BT,Audio,26,60
2024-02-01,Colombia,Medellín,6.2442,-75.5812,Teclado Mecánico,Accesorios,49,80
2024-03-08,Perú,Lima,-12.0464,-77.0428,Mouse Inalámbrico,Accesorios,5,25
2024-03-17,USA,Miami,25.7617,-80.1918,Mouse Inalámbrico,Accesorios,50,25
2024-02-03,Argentina,Buenos Aires,-34.6037,-58.3816,Smartphone X,Móvil,21,850
2024-02-26,México,CDMX,19.4326,-99.1332,Monitor 27,Tecnología,9,350
2024-01-30,Argentina,Buenos Aires,-34.6037,-58.3816,Mouse Inalámbrico,Accesorios,20,25
2024-03-24,México,CDMX,19.4326,-99.1332,Laptop Pro,Tecnología,4,1200
2024-02-23,Colombia,Medellín,6.2442,-75.5812,Mouse Inalámbrico,Accesorios,6,25
2024-03-11,Colombia,Medellín,6.2442,-75.5812,Teclado Mecánico,Accesorios,27,80
2024-02-09,Colombia,Medellín,6.2442,-75.5812,Mouse Inalámbrico,Accesorios,6,25
2024-01-06,USA,Miami,25.7617,-80.1918,Auriculares BT,Audio,34,60
2024-02-07,USA,Miami,25.7617,-80.1918,Monitor 27,Tecnología,2,350
2024-01-08,España,Madrid,40.4168,-3.7038,Smartphone X,Móvil,45,850
2024-01-06,Argentina,Buenos Aires,-34.6037,-58.3816,Auriculares BT,Audio,39,60
2024-03-24,México,CDMX,19.4326,-99.1332,Mouse Inalámbrico,Accesorios,11,25
2024-01-25,USA,Miami,25.7617,-80.1918,Monitor 27,Tecnología,40,350
2024-01-17,méxico,Monterrey,25.6866,-100.3161,Mouse Inalámbrico,Accesorios,31,25
2024-03-21,Colombia,Medellín,6.2442,-75.5812,Teclado Mecánico,Accesorios,50,80
2024-02-26,USA,Miami,25.7617,-80.1918,Monitor 27,Tecnología,23,350
2024-01-02,México,CDMX,19.4326,-99.1332,Laptop Pro,Tecnología,20,1200
2024-02-21,USA,Miami,25.7617,-80.1918,Laptop Pro,Tecnología,18,1200
2024-03-06,méxico,Monterrey,25.6866,-100.3161,Mouse Inalámbrico,Accesorios,17,25
2024-01-02,España,Madrid,40.4168,-3.7038,Smartphone X,Móvil,44,850
2024-03-08,Colombia,Medellín,6.2442,-75.5812,Laptop Pro,Tecnología,21,1200
2024-01-06,méxico,Monterrey,25.6866,-100.3161,Monitor 27,Tecnología,3,350
2024-02-20,Colombia,Medellín,6.2442,-75.5812,Smartphone X,Móvil,14,850
2024-01-19,México,CDMX,19.4326,-99.1332,Teclado Mecánico,Accesorios,15,80
2024-03-21,México,CDMX,19.4326,-99.1332,Monitor 27,Tecnología,15,350
