id_venta;fecha;producto;categoria;precio;cantidad;ciudad;metodo_pago;cliente_satisfecho
1;13/02/2024;       Monitor    r;Accesorios;1140503.31;6;   Barranquilla;Tarjeta;si
2;29/02/2024;Audefenes;Accesorios;2786223.89;2;   Barranquilla;nan;si
3;5/04/2024;TeCladO;Accesorios;958850.4;3;Cali;nan;No
4;12/05/2024;Audefenes;Periféricos;1544815.4;5;   Barranquilla;Efectivo;nan
5;13/05/2024;Audefenes;Periféricos;;9;bogotá;tarjeta;Sí
6;15/06/2024;Mouse;Electrónica;103347.34;2;bogotá;Tarjeta;No
7;5/01/2024;TeCladO;Electrónica;3369829.73;8;Bogotá;Tarjeta;NO
8;20/03/2024;TeCladO;Periféricos;2928390.72;2;bogotá;Transferencia;NO
9;19/03/2024;TeCladO;Accesorios;;5;bogotá;nan;si
10;14/03/2024;Audefenes;Electrónica;1440201.01;7;Cali;Tarjeta;si
11;14/04/2024;       Monitor    r;Periféricos;618930.71;8;bogotá;nan;NO
12;26/02/2024;TeCladO;Periféricos;560183.09;1;Bogotá;Tarjeta;si
13;29/04/2024;Audefenes;Periféricos;887096.5;6;Medellín;Efectivo;Sí
14;23/05/2024;Mouse;Accesorios;1929054.93;1;Cali;tarjeta;si
15;4/01/2024;       Monitor    r;Periféricos;2505366.79;2;Medellín;Tarjeta;nan
16;2/01/2024;Mouse;Periféricos;2315787.86;1;Cali;nan;si
17;21/06/2024;       Monitor    r;Periféricos;990569.63;5;BOGOTA;Efectivo;No
18;19/01/2024;Audefenes;Periféricos;3342705.5;9;   Barranquilla;Tarjeta;Sí
19;28/02/2024;Laptop;Electrónica;2586570.75;6;BOGOTA;Transferencia;No
20;19/01/2024;       Monitor    r;Electrónica;1946923.87;1;bogotá;tarjeta;No
21;11/03/2024;Mouse;Periféricos;2146846.8;1;Medellín;Tarjeta;nan
22;11/04/2024;Audefenes;Accesorios;1477306.22;2;bogotá;Efectivo;Sí
23;7/02/2024;       Monitor    r;Electrónica;878342.5;9;   Barranquilla;Transferencia;Sí
24;5/04/2024;Laptop;Periféricos;1255564.79;3;Cali;Efectivo;Sí
25;7/06/2024;Laptop;Electrónica;;1;   Barranquilla;Efectivo;Sí
26;18/02/2024;TeCladO;Electrónica;65161.31;5;Bogotá;Transferencia;Sí
27;22/05/2024;TeCladO;Accesorios;419513.15;7;   Barranquilla;Efectivo;nan
28;10/03/2024;Mouse;Periféricos;175319.21;6;;Transferencia;si
