Call_ID;Date;Month_Year;Time;Country;Customer_ID;Category;Shift;Agent_ID;Queue_Time_sec;Talk_Time_min;Hold_Time_min;Duration_min;ACW_min;CSAT;FCR;NPS
CC_00001;1/01/2026;2026-01;6:07:08;Mexico;CUST_ME_5165;Acceso y cuenta;T1;AG_002;122;5.1;0.8;5.9;0.4;1;1;9
CC_00002;1/01/2026;2026-01;6:07:56;Argentina;CUST_AR_8270;Acceso y cuenta;T1;AG_002;125;4.3;0.9;5.2;0.4;5;1;10
CC_00003;1/01/2026;2026-01;6:11:24;Argentina;CUST_AR_7742;Problemas tecnicos;T1;AG_004;19;1.5;0.2;1.7;0.5;3;0;5
CC_00004;1/01/2026;2026-01;6:12:04;Mexico;CUST_ME_5986;Problemas tecnicos;T1;AG_003;172;10.2;1.7;11.9;0.7;3;1;6
CC_00005;1/01/2026;2026-01;6:15:05;Mexico;CUST_ME_8265;Problemas tecnicos;T1;AG_004;173;4.7;0.6;5.3;0.4;3;1;5
CC_00006;1/01/2026;2026-01;6:18:04;Argentina;CUST_AR_7876;Gestion de suscripcion;T1;AG_002;117;2.1;0.4;2.5;0.3;4;1;9
CC_00007;1/01/2026;2026-01;6:18:33;Argentina;CUST_AR_6945;Problemas tecnicos;T1;AG_003;132;4.9;1.3;6.2;0.3;4;1;10
CC_00008;1/01/2026;2026-01;6:23:11;Mexico;CUST_ME_2842;Problemas tecnicos;T1;AG_002;130;2.3;0.3;2.6;0.7;3;0;9
CC_00009;1/01/2026;2026-01;6:26:35;Argentina;CUST_AR_7792;Promociones y descuentos;T1;AG_004;101;2.2;0.4;2.6;0.4;5;1;9
CC_00010;1/01/2026;2026-01;6:30:51;Mexico;CUST_ME_6872;Problemas tecnicos;T1;AG_002;110;5.0;1.5;6.5;0.4;4;1;9
CC_00011;1/01/2026;2026-01;6:33:08;Colombia;CUST_CO_1665;Acceso y cuenta;T1;AG_002;138;8.5;1.3;9.8;0.4;3;1;10
CC_00012;1/01/2026;2026-01;6:34:10;Mexico;CUST_ME_1360;Acceso y cuenta;T1;AG_003;74;2.8;0.3;3.1;0.6;4;1;9
CC_00013;1/01/2026;2026-01;6:35:51;Mexico;CUST_ME_6195;Problemas tecnicos;T1;AG_003;29;1.5;0.3;1.8;0.5;4;0;9
CC_00014;1/01/2026;2026-01;6:36:27;Mexico;CUST_ME_6914;Promociones y descuentos;T1;AG_002;99;5.6;1.1;6.7;0.6;4;1;9
CC_00015;1/01/2026;2026-01;6:57:39;Chile;CUST_CH_8255;Promociones y descuentos;T1;AG_004;102;3.4;1.0;4.4;0.5;5;1;9
CC_00016;1/01/2026;2026-01;7:03:07;Mexico;CUST_ME_3980;Promociones y descuentos;T1;AG_004;119;8.4;2.8;11.2;0.6;4;1;9
CC_00017;1/01/2026;2026-01;7:03:20;Mexico;CUST_ME_4815;Gestion de suscripcion;T1;AG_002;59;3.6;0.7;4.3;0.4;2;1;9
CC_00018;1/01/2026;2026-01;7:07:54;Uruguay;CUST_UR_6715;Problemas tecnicos;T1;AG_004;148;3.0;0.6;3.6;0.8;3;1;10
CC_00019;1/01/2026;2026-01;7:11:08;Honduras;CUST_HO_7103;Problemas tecnicos;T1;AG_003;120;5.4;1.6;7.0;0.5;4;1;9
CC_00020;1/01/2026;2026-01;7:12:11;Peru;CUST_PE_9998;Gestion de suscripcion;T1;AG_004;126;2.7;0.6;3.3;0.3;5;1;9
CC_00021;1/01/2026;2026-01;7:12:17;Costa Rica;CUST_CO_2602;Problemas tecnicos;T1;AG_002;168;2.0;0.3;2.3;0.8;3;1;9
CC_00022;1/01/2026;2026-01;7:13:33;Argentina;CUST_AR_9004;Problemas tecnicos;T1;AG_002;129;1.2;0.3;1.5;0.5;2;0;10
CC_00023;1/01/2026;2026-01;7:17:57;Argentina;CUST_AR_8164;Gestion de suscripcion;T1;AG_003;61;2.5;0.4;2.9;0.7;4;1;10
CC_00024;1/01/2026;2026-01;7:29:11;Peru;CUST_PE_8290;Problemas tecnicos;T1;AG_003;170;2.3;0.7;3.0;0.8;3;1;10
CC_00025;1/01/2026;2026-01;7:37:06;Mexico;CUST_ME_5574;Problemas tecnicos;T1;AG_002;35;4.5;1.4;5.9;0.3;5;0;9
CC_00026;1/01/2026;2026-01;7:37:41;Mexico;CUST_ME_2000;Acceso y cuenta;T1;AG_003;169;2.5;0.6;3.1;0.4;1;1;9
CC_00027;1/01/2026;2026-01;7:44:02;Mexico;CUST_ME_6881;Acceso y cuenta;T1;AG_002;128;3.9;0.5;4.4;0.3;4;1;8
CC_00028;1/01/2026;2026-01;7:45:33;Chile;CUST_CH_3868;Acceso y cuenta;T1;AG_002;168;4.3;0.8;5.1;0.6;4;1;9
CC_00029;1/01/2026;2026-01;7:52:07;Argentina;CUST_AR_8092;Problemas tecnicos;T1;AG_004;30;4.2;1.2;5.4;0.3;5;1;10
CC_00030;1/01/2026;2026-01;7:53:03;Mexico;CUST_ME_8463;Problemas tecnicos;T1;AG_002;65;2.2;0.7;2.9;0.7;2;1;9
CC_00031;1/01/2026;2026-01;7:54:48;Mexico;CUST_ME_6888;Gestion de suscripcion;T1;AG_002;55;1.0;0.2;1.2;0.5;4;1;9
CC_00032;1/01/2026;2026-01;7:55:09;Mexico;CUST_ME_6540;Problemas tecnicos;T1;AG_004;116;5.2;0.6;5.8;0.3;2;0;9
CC_00033;1/01/2026;2026-01;7:55:44;Mexico;CUST_ME_9275;Acceso y cuenta;T1;AG_003;143;3.1;0.5;3.6;0.7;3;1;9
CC_00034;1/01/2026;2026-01;7:56:39;Mexico;CUST_ME_3647;Problemas tecnicos;T1;AG_002;114;1.7;0.4;2.1;0.5;4;1;6
CC_00035;1/01/2026;2026-01;8:00:34;Ecuador;CUST_EC_7528;Problemas tecnicos;T1;AG_004;78;3.4;0.9;4.3;0.6;4;1;9
CC_00036;1/01/2026;2026-01;8:02:06;Argentina;CUST_AR_5354;Acceso y cuenta;T1;AG_003;97;2.3;0.3;2.6;0.6;5;1;8
CC_00037;1/01/2026;2026-01;8:04:08;Argentina;CUST_AR_7641;Problemas tecnicos;T1;AG_003;128;2.3;0.4;2.7;0.7;4;1;8
CC_00038;1/01/2026;2026-01;8:07:14;Mexico;CUST_ME_3625;Acceso y cuenta;T1;AG_002;34;3.4;0.7;4.1;0.3;5;1;9
CC_00039;1/01/2026;2026-01;8:07:23;Argentina;CUST_AR_3327;Acceso y cuenta;T1;AG_003;136;5.5;1.2;6.7;0.3;4;1;9
CC_00040;1/01/2026;2026-01;8:09:25;Mexico;CUST_ME_8378;Problemas tecnicos;T1;AG_003;44;1.9;0.3;2.2;0.4;5;0;9
CC_00041;1/01/2026;2026-01;8:11:12;Chile;CUST_CH_8001;Gestion de suscripcion;T1;AG_002;74;1.9;0.4;2.3;0.7;4;0;9
CC_00042;1/01/2026;2026-01;8:15:48;Mexico;CUST_ME_2149;Problemas tecnicos;T1;AG_003;77;5.2;1.6;6.8;0.7;2;0;2
CC_00043;1/01/2026;2026-01;8:16:16;Colombia;CUST_CO_1724;Promociones y descuentos;T1;AG_004;79;5.4;1.0;6.4;0.6;5;1;9
CC_00044;1/01/2026;2026-01;8:17:08;Argentina;CUST_AR_8993;Problemas tecnicos;T1;AG_003;126;2.2;0.6;2.8;0.8;4;1;9
CC_00045;1/01/2026;2026-01;8:17:46;Colombia;CUST_CO_1537;Gestion de suscripcion;T1;AG_003;125;4.9;0.7;5.6;0.4;4;1;8
CC_00046;1/01/2026;2026-01;8:19:29;Mexico;CUST_ME_7781;Acceso y cuenta;T1;AG_002;60;0.9;0.2;1.1;0.6;5;1;9
CC_00047;1/01/2026;2026-01;8:20:10;Colombia;CUST_CO_6390;Acceso y cuenta;T1;AG_003;42;1.4;0.3;1.7;0.6;5;0;9
CC_00048;1/01/2026;2026-01;8:20:27;Peru;CUST_PE_5540;Promociones y descuentos;T1;AG_002;166;3.9;0.5;4.4;0.5;5;1;10
CC_00049;1/01/2026;2026-01;8:20:57;Mexico;CUST_ME_1428;Problemas tecnicos;T1;AG_003;95;4.3;1.3;5.6;0.5;1;1;3
CC_00050;1/01/2026;2026-01;8:25:31;Mexico;CUST_ME_7439;Acceso y cuenta;T1;AG_004;137;3.6;1.1;4.7;0.5;3;0;10
CC_00051;1/01/2026;2026-01;8:35:47;Colombia;CUST_CO_3471;Acceso y cuenta;T1;AG_004;159;2.0;0.6;2.6;0.4;4;0;9
CC_00052;1/01/2026;2026-01;8:37:46;Chile;CUST_CH_3458;Promociones y descuentos;T1;AG_002;21;3.0;0.7;3.7;0.5;5;1;9
CC_00053;1/01/2026;2026-01;8:53:30;El Salvador;CUST_EL_8799;Promociones y descuentos;T1;AG_002;43;6.2;0.8;7.0;0.4;5;1;9
CC_00054;1/01/2026;2026-01;8:54:45;Mexico;CUST_ME_4148;Problemas tecnicos;T1;AG_003;79;4.7;1.0;5.7;0.5;2;0;9
CC_00055;1/01/2026;2026-01;9:00:39;Argentina;CUST_AR_1001;Problemas tecnicos;T1;AG_004;89;2.4;0.7;3.1;0.7;3;1;9
CC_00056;1/01/2026;2026-01;9:01:20;Panama;CUST_PA_2057;Promociones y descuentos;T1;AG_002;156;1.1;0.3;1.4;0.4;3;1;9
CC_00057;1/01/2026;2026-01;9:02:37;Colombia;CUST_CO_3200;Gestion de suscripcion;T1;AG_003;11;2.1;0.7;2.8;0.5;5;1;9
CC_00058;1/01/2026;2026-01;9:03:30;Mexico;CUST_ME_9627;Problemas tecnicos;T1;AG_004;6;1.3;0.4;1.7;0.6;2;1;10
CC_00059;1/01/2026;2026-01;9:03:44;Mexico;CUST_ME_8908;Gestion de suscripcion;T1;AG_002;176;1.2;0.3;1.5;0.6;5;1;10
CC_00060;1/01/2026;2026-01;9:04:22;Peru;CUST_PE_6867;Problemas tecnicos;T1;AG_003;31;5.6;1.0;6.6;0.6;2;0;9
CC_00061;1/01/2026;2026-01;9:05:24;Peru;CUST_PE_7531;Acceso y cuenta;T1;AG_004;7;5.4;0.8;6.2;0.3;4;1;7
CC_00062;1/01/2026;2026-01;9:07:11;Argentina;CUST_AR_5348;Acceso y cuenta;T1;AG_004;42;4.1;0.6;4.7;0.4;4;1;9
CC_00063;1/01/2026;2026-01;9:08:48;Uruguay;CUST_UR_9578;Acceso y cuenta;T1;AG_003;133;2.8;0.7;3.5;0.4;5;0;9
CC_00064;1/01/2026;2026-01;9:11:38;Chile;CUST_CH_9348;Acceso y cuenta;T1;AG_003;163;4.5;0.9;5.4;0.4;5;1;9
CC_00065;1/01/2026;2026-01;9:11:39;Argentina;CUST_AR_4436;Problemas tecnicos;T1;AG_004;95;3.9;0.5;4.4;0.4;4;1;9
CC_00066;1/01/2026;2026-01;9:17:26;Mexico;CUST_ME_5567;Acceso y cuenta;T1;AG_002;32;4.2;1.3;5.5;0.4;3;1;10
CC_00067;1/01/2026;2026-01;9:17:50;Mexico;CUST_ME_4433;Problemas tecnicos;T1;AG_002;161;4.7;1.4;6.1;0.5;2;1;9
CC_00068;1/01/2026;2026-01;9:18:55;Argentina;CUST_AR_8293;Acceso y cuenta;T1;AG_002;35;2.5;0.4;2.9;0.8;4;1;6
CC_00069;1/01/2026;2026-01;9:21:28;Mexico;CUST_ME_8165;Problemas tecnicos;T1;AG_002;32;1.2;0.3;1.5;0.4;4;1;9
CC_00070;1/01/2026;2026-01;9:21:29;Mexico;CUST_ME_7438;Problemas tecnicos;T1;AG_004;146;8.6;1.8;10.4;0.8;5;1;8
